id,name,lat,lon,rest_count
1582,Sint-Jan-de-Doperkerk,50.7462731900,4.2766668040,52
2440,Sint-Michielskerk,50.9075758600,4.1090428600,52
2447,Abdij van Affligem,50.9244947500,4.1132531760,52
85,Onze-Lieve-Vrouwekerk,51.0005711400,4.1292668900,51
211,Heilig Kruiskerk,50.9838054200,4.1446071870,51
269,Sint-Jan Evangelistkerk,50.8920896400,4.0992559720,51
505,Sint-Paulus-Bekeringkerk,50.9342603200,3.9472470840,51
572,Sint-Jobkerk,51.1734809000,4.0703979540,51
698,Sint-Andreas en Ghislenuskerk,51.1460215500,4.0886533650,51
736,Sint-Stefanuskerk,50.9271903900,4.2674357270,51
1258,Onze-Lieve-Vrouw ten Troostkerk,51.1367499900,3.7200642940,51
1353,0,50.9313036800,4.0973482750,51
1379,Sint-Joannes Vianneykerk,51.0003201700,4.1507538390,51
1661,Sint-Jozefkerk,51.0481969400,4.1672636700,51
1784,Onze-Lieve-Vrouw-Bezoekingkerk,50.9017693500,4.1374523410,51
1795,Sint-Clemenskerk,50.7679166200,4.4722957530,51
1822,Sint-Bartholomeuskerk,50.8393020600,4.6411653110,51
1836,0,51.0000769100,4.1504894930,51
1883,0,51.1465529500,4.6056046050,51
1931,Onze-Lieve-Vrouw Hemelvaartkerk,50.9718183100,4.0667609900,51
2155,0,51.1378170900,3.6805106020,51
2158,koetshuis,51.1445140900,4.0851806970,51
2392,WZC Denderrust,50.9735954600,4.0655365760,51
2488,Heilig Hartkerk,51.1012011600,3.6599207730,51
32,Sint-Martinuskerk,50.9199197000,3.9291344810,50
63,Sint-Martinuskerk,50.9851401300,4.0540966070,50
156,Sint-Jobkerk,50.9883370600,5.2746290610,50
199,Sint-Joriskerk,51.1325418500,3.6788062400,50
236,Sint-Hubertus en Vincentiuskerk,51.0232516400,5.3138033150,50
371,Sint-Petrus en Pauluskerk,51.1431661600,3.7657681880,50
430,Onze-Lieve-Vrouw-Geboortekerk,51.1551580200,3.7332371850,50
542,Sint-Christoffelkerk,51.1093111600,3.7079858480,50
584,Sint-Barbarakerk,51.1743259800,3.7857820610,50
596,Heilig-Hartkerk,51.0116279100,5.2830109800,50
677,Sint-Willibrorduskerk,51.0339351200,5.2820746160,50
746,Onze-Lieve-Vrouw van Stoepekapel,51.1908407200,3.7537091790,50
767,Onze-Lieve-Vrouw Hemelvaartkerk,51.1790620500,3.7474054550,50
769,Sint-Jacobuskerk,51.0261382300,5.2403713610,50
808,Onze-Lieve-Vrouw Koningin van de Vredekerk,51.1509471700,4.6171603160,50
906,Sint-Valentinuskerk,51.0437091600,5.3150243700,50
968,Kapel Onze-Lieve-Vrouw van Lourdes,51.1053169700,3.7015746640,50
973,0,51.1374452100,3.6790456270,50
1573,Sint-Quirinuskerk,50.9962489600,5.2494880030,50
1961,0,50.9844221000,4.0508751410,50
2206,Onze-Lieve-Vrouwekerk,51.0508499600,5.3343287010,50
2393,0,50.9840391100,4.0500394400,50
3,Sint-Martinuskerk,51.2134487000,4.2573832000,49
62,Sint-Ursmaruskerk,51.0386331100,4.1652238270,49
335,Sint-Martinuskerk,51.0013937900,4.0840520730,49
401,Sint-Jacobuskerk,51.1815039500,4.2410571340,49
449,Sint-Martinuskerk,50.9661627500,3.9782781840,49
456,Sint-Salvatorkerk,50.9796794800,4.0799215670,49
477,Kapel Onze-Lieve-Vrouw van Gaverland,51.2259041400,4.2673283650,49
576,Onze Lieve Vrouw van Bijstandkerk,51.2078000900,4.2387854170,49
654,Sint-Lutgartkerk,51.0266013300,4.1245933630,49
